hospital,address,service_name,price,duration,discount,treatment_type,duration_minutes,service_name_translated
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
CLAUDIR - PRAÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Valéria Cajaiba Studio,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Paula Couto,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Paula Couto,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Paula Couto,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Paula Couto,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Paula Couto,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Paula Couto,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Paula Couto,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Paula Couto,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Paula Couto,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Paula Couto,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Paula Couto,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Clínica Thaís Jonhson,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
CLINICA SHIRLEY DIAS,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
"Renove Saúde, Estetica e Bem Estar Ltda","Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
ASIAN GARDEN,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Vitória Régia Estética,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Probelle Estetica Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Studio Fisiobela,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Centro de Beleza Botafogo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Clínica Dra. Elisa de Carvalho Prieto Saude & Estetica,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
